,city counts of 0.2 cutoff rate,city ounts of 0.3 cutoff rate,ValidCityCounts,AverageNArate,Agartala,Agra,Ahmedabad,Ahmedapur,Aizwal,Aligarh,Allahabad,Amritsar,Asansol,Aurangabad,Balichak,Bangalore,Bankura,Basiwrhat,Belda,Bethuadahari,Bhatinda,Bhawani,Bhawanipatna,Bhillai,Bhopal,Bhubneshwar,Bijapur,Bishalgarh,Burdwan,Chandigarh,Chennai,Chittoor,Coimbatore,Contai,Cuddalore,Cuttack,Dausa,Delhi,Dhanbad,Dibrugarh,Dispur,Ernakulam,Gandhi Nagar,Gangavathi,Gangtok,Gaya,Gonda,Gorakhpur,Guntur,Guwahati,Hajipur,Hardoi,Hissar,Howrah,Hubli,Hyderabad,Imphal,Indus,Itanagar,Jaipur,Jalgaon,Jalpaiguri,Jammu,Jamnagar,Jodhpur,Kaithal,Kanpur,Karnal,Katwa,Khozhikode,Kohima,Kolhapur,Kolkata,Krishnagar,Kurnool,Lucknow,Ludhiana,Madurai,Mainpuiri,Malda,Mandi,Melaghat,Mirzapur,Mogra,Mumbai,Muradnagar,Muzaffarnagar,Muzaffarpur,NR,Nagpur,Nasik,Nedumangad,Palghat,Panaji,Patna,Philibhit,Pondicherry,Portblair,Pune,Purulia,Rajkot,Ranchi,Rewa,Saharanpur,Salem,Sehore,Shillong,Shimla,Shrinagar,Sonipet,Srinagar,Surat,Suri,Swaimadhopur,Tambram,Tiruchirapalli,Tirunelveli,Trivandrum,Tumkur,Udaipur,Vadodra,Vellore,Vishakhapatnam
"('Black', ' ')",21,31,82,0.459756098,0.22,0.47,,,0.23,,0.2,0.36,0.55,0.79,,0.72,,,,,0.43,,0.89,0.78,0.08,0.06,0.49,,,0.87,0.17,0.07,0.88,,,0.59,0.1,0.42,0.28,0.45,0.71,0.08,0.26,,0.97,0.98,,0.08,0.58,0.58,0.97,,0.17,0.71,0.36,0.17,0.42,,0.47,0.33,,0.54,0.13,,0.08,,0.43,0.24,,0.03,0.45,,0.29,,0.42,0.02,0.1,0.43,,0.61,0.33,,,,0.29,,,0.98,0.99,0.71,0.75,,,0.1,0.04,,0.84,0.14,0.97,,0.96,0.04,0.77,0.43,0.18,0.6,0.06,0.75,0.83,,0.94,0.77,,0.41,0.97,,0.67,0.21,0.34,0.27,0.56,,0.09
"('Groundnut', ' ')",21,29,81,0.479753086,0.39,0.52,,,0.5,,0.2,0.24,0.56,0.79,,0.28,,,,,0.36,,0.98,0.78,0.08,0.77,0.47,,,0.86,0.09,0.07,0.13,,0.99,0.84,0.09,0.32,0.27,0.95,0.78,0.08,0.21,,0.99,0.98,,0.07,0.07,0.57,0.97,,0.15,0.71,0.36,0.06,0.98,,0.68,0.11,,0.54,0.32,0.97,0.07,,0.42,0.48,,0.18,0.38,,0.29,,0.09,0.43,0.09,0.42,,,0.6,,,,0.04,,,0.99,,0.69,0.66,,,0.48,0.04,,0.84,0.11,0.97,,0.96,0.35,0.77,0.42,0.17,0.6,0.1,0.75,,,,0.77,,0.42,0.97,0.99,0.67,0.27,0.32,0.27,0.56,,0.1
"('Salt', 'Loose(common)')",20,30,81,0.475925926,0.22,0.46,,,0.19,,0.22,0.29,0.39,0.93,,0.59,,,,,0.38,,0.89,0.78,0.08,0.05,0.47,,,0.86,0.24,0.08,0.14,,,0.59,0.1,0.84,0.33,0.77,0.71,0.17,0.26,,0.97,0.98,,0.08,0.07,0.56,0.95,,0.15,0.72,0.36,0.18,0.83,,0.45,0.34,,0.53,0.84,,0.13,,0.42,0.2,,0.31,0.32,,0.28,,0.09,0.02,0.1,0.44,,0.61,0.83,,,,0.44,,,0.98,,0.89,0.75,,,0.1,0.04,,0.85,0.32,0.97,,0.96,0.18,0.78,0.42,0.25,0.61,0.19,0.99,0.83,,0.88,0.77,,0.41,0.97,,0.67,0.26,0.33,0.27,0.56,,0.09
"('Apple', 'Delicious medium size')",20,30,83,0.488915663,0.26,0.55,,,0.18,0.98,0.19,0.29,0.56,0.79,,0.52,,,,,0.45,,0.89,0.78,0.09,0.06,0.79,,,0.86,0.15,0.12,0.36,,,0.6,0.12,0.15,0.29,0.45,0.72,0.09,0.26,,0.97,0.98,,0.16,0.58,0.57,0.94,,0.23,0.71,0.54,0.3,0.5,,0.46,0.29,,0.71,0.21,,0.1,,0.46,0.33,,0.09,0.43,,0.24,,0.35,0.17,0.1,0.62,,0.67,0.54,,,,0.18,,,0.98,0.99,0.7,0.76,,,0.12,0.2,,0.84,0.22,0.97,,0.96,0.07,0.77,0.47,0.69,0.62,0.05,0.78,0.91,,0.94,0.77,,0.42,0.97,,0.71,0.19,0.33,0.43,0.56,,0.18
"('Biscuit', 'Glucose')",19,30,81,0.47037037,0.26,0.56,,,0.27,,0.22,0.27,0.54,0.85,,0.62,,,,,0.5,,0.88,0.78,0.11,0.09,0.48,,,0.86,0.2,0.09,0.17,,,0.59,0.14,0.46,0.31,0.48,0.73,0.18,0.28,,0.97,0.98,,0.12,0.63,0.59,0.95,,0.2,0.71,,0.2,0.48,,0.47,0.36,,0.6,0.19,,0.11,,0.44,0.23,,0.07,0.36,,0.32,,0.12,0.06,0.13,0.44,,0.62,0.36,,,,0.12,,,0.98,0.99,0.74,0.75,,,0.14,0.08,,0.84,0.16,0.97,,0.96,0.44,0.77,0.43,0.22,0.6,0.17,0.75,0.83,,0.94,0.77,,0.43,0.97,,0.67,0.33,0.37,0.29,0.58,,0.18
"('Milk', 'Dairy')",18,29,80,0.499875,0.22,0.49,,,0.17,,0.18,0.25,0.34,,,0.61,,,,,0.36,,0.87,0.78,0.07,0.05,0.47,,,0.87,0.23,0.26,0.27,,,0.59,0.1,0.93,0.86,0.46,0.73,0.08,0.26,,0.97,0.98,,0.08,0.59,0.57,0.97,,0.16,0.73,0.97,0.15,0.45,,0.45,0.27,,0.53,0.15,,0.19,,0.42,0.27,,0.03,0.32,,0.41,,0.23,0.02,0.82,0.42,,0.96,0.33,,,,0.9,,,0.98,,0.76,0.75,,,0.1,0.04,,0.84,0.12,0.97,,0.96,0.18,0.93,0.42,0.84,0.6,0.77,0.75,0.83,,0.94,0.78,,0.47,0.97,,0.67,0.23,0.33,0.27,0.56,,0.09
"('Butter', 'Amul/Any Other')",18,27,82,0.492195122,0.22,0.46,,,0.18,,0.18,0.24,0.34,0.97,,0.61,,,,,0.41,,0.87,0.78,0.07,0.05,0.48,,,0.85,0.31,0.13,0.52,,,0.59,0.1,0.34,0.27,0.46,0.71,0.2,0.26,,0.97,0.98,,0.08,0.59,0.6,0.97,,0.17,0.71,0.97,0.17,0.58,,0.45,0.34,,0.53,0.15,,0.61,,0.42,0.37,,0.03,0.41,,0.28,,0.84,0.02,0.1,0.42,,0.61,0.33,,,,0.62,,,0.98,0.99,0.71,0.75,,,0.12,0.04,,0.84,0.17,0.98,,0.96,0.59,0.77,0.42,0.21,0.6,0.04,0.75,0.83,,0.94,0.78,,0.78,0.97,,0.67,0.26,0.33,0.28,0.56,,0.12
"('Tea', 'Brooke Bond Red Label')",18,27,80,0.513,0.24,0.53,,,0.47,,0.21,0.28,0.56,,,0.67,,,,,0.41,,0.89,0.78,0.1,0.08,0.48,,,0.85,0.24,0.07,0.16,,,0.59,0.12,0.44,0.85,0.64,0.72,0.11,0.26,,0.97,0.98,,0.1,0.59,0.59,0.97,,0.18,0.98,0.52,0.19,0.87,,0.57,0.36,,0.93,0.18,,0.82,,0.43,0.23,,0.07,0.37,,0.48,,0.1,0.06,0.12,0.48,,0.95,0.35,,,,0.51,,,0.98,0.99,0.73,0.75,,,0.13,0.07,,0.85,0.14,0.97,,,0.54,0.77,0.43,0.23,0.61,0.84,0.78,0.83,,0.94,0.99,,0.45,0.97,,0.79,0.25,0.36,0.28,0.56,,0.11
"('Maize', 'FAQ')",18,26,82,0.574390244,1,0.79,,,0.59,0.98,0.24,0.25,0.62,0.97,,0.35,,,,,0.36,,0.89,0.78,0.09,0.16,0.48,,,0.86,0.11,0.99,0.14,,,0.72,0.14,0.06,0.9,,0.8,0.87,0.22,,0.98,0.98,0.99,0.11,0.71,0.94,0.95,,0.18,0.99,0.22,0.1,0.45,,0.51,0.21,,0.98,0.15,,0.11,,0.49,0.2,,0.96,0.37,,0.31,,0.96,0.06,0.13,0.42,0.96,,0.99,,,,0.44,,,0.98,0.99,0.74,0.81,,,0.11,0.08,,0.99,0.14,0.98,,0.96,0.09,0.94,0.69,0.93,0.61,0.41,0.99,,,,0.77,,0.42,0.99,0.99,0.71,0.25,0.33,0.29,0.56,,0.14
"('Rice', 'Superfine')",18,25,107,0.613364486,0.21,0.52,0.98,1,0.35,0.98,0.2,0.63,0.3,0.79,,0.61,1,0.99,0.98,,0.51,1,0.89,0.78,0.07,0.04,0.47,1,0.99,0.86,0.31,0.07,0.15,1,0.99,0.59,0.09,0.44,0.27,0.44,0.71,0.96,0.26,1,0.97,0.98,0.99,0.07,0.58,0.56,0.95,,0.61,0.71,0.1,0.2,0.5,0.98,0.56,0.2,,0.53,0.15,0.97,0.07,,0.53,0.39,0.98,0.58,0.31,0.99,0.73,,0.17,0.95,0.09,0.65,0.97,0.61,0.32,,1,,0.02,,1,0.98,,0.69,0.76,0.98,0.99,0.14,0.04,0.98,0.84,0.1,0.97,,0.96,0.03,0.77,0.43,0.17,0.6,0.86,0.75,0.85,,0.94,0.77,0.99,0.41,0.97,1,0.67,0.35,0.32,0.27,0.56,0.99,0.1
"('Bajra', 'FAQ')",17,23,76,0.568815789,,0.41,,,0.95,0.97,0.2,0.26,0.99,0.79,,0.34,,,,,0.35,0.99,,0.78,0.05,0.68,0.48,,,0.87,0.08,0.07,0.14,,,0.99,0.09,0.02,0.99,,0.99,0.86,0.21,,0.99,,,0.93,0.6,0.95,,,0.3,,0.19,0.06,0.9,,,0.15,,,0.13,0.97,0.07,,0.53,0.2,,0.99,0.96,,0.41,,0.11,0.38,0.09,0.42,,,0.99,,,,0.03,,,,1,0.7,0.66,,,0.09,0.64,,0.84,0.11,0.97,,0.96,0.95,0.93,0.68,0.21,0.61,0.43,0.99,,0.99,,0.77,,0.41,0.97,1,0.34,0.7,0.46,0.28,0.56,0.99,0.09
"('Jowar', 'White')",17,23,74,0.584594595,,0.55,,,0.99,,0.91,0.25,,0.79,,0.17,,,,,0.35,,0.89,0.78,0.05,0.86,0.48,,,0.86,0.09,0.07,0.14,,,0.98,0.09,0.18,0.99,,,0.86,0.21,0.99,0.99,,,0.66,0.07,0.94,,,0.15,0.99,0.1,0.06,0.97,,,0.15,,,0.96,0.97,0.07,,0.53,0.25,,0.99,0.76,0.99,0.23,,0.09,0.4,0.09,0.41,,,0.99,,,,0.02,,,,,0.69,0.65,,,0.09,0.89,,0.99,0.43,0.97,,0.96,0.99,0.93,0.97,0.34,0.61,0.53,0.99,,,,0.77,,0.7,0.97,0.99,0.37,0.74,0.35,0.27,0.5,0.99,0.22
"('Gingelly', ' ')",16,24,78,0.577051282,0.97,0.47,,,0.96,,0.19,0.27,0.97,0.95,,0.54,,,,,0.78,,0.94,0.81,0.66,0.64,0.76,,,0.86,0.1,0.07,0.14,,,0.72,0.1,0.39,0.27,0.98,0.74,0.09,0.26,,0.97,0.98,,0.08,0.61,0.57,0.97,,0.16,0.99,0.36,0.25,0.96,,0.96,0.34,,0.98,0.9,,0.22,,0.42,0.2,,0.03,0.96,,0.76,,0.09,0.95,0.11,0.42,,,0.96,,,,0.69,,,0.99,,0.73,0.75,,,0.21,0.09,,0.84,0.1,0.97,,,0.95,0.77,0.42,0.19,0.76,0.87,0.76,,,0.97,0.77,,0.41,0.99,,0.67,0.03,0.33,0.27,0.56,,0.09
"('Fish', 'Rohu 1Kg Size')",14,23,80,0.5355,0.23,0.46,,,0.2,,0.2,0.29,0.34,0.85,,0.8,,,,,0.38,,0.87,0.79,0.09,0.07,0.49,,,0.88,0.71,0.17,0.42,,,0.59,0.12,0.1,0.28,0.47,0.72,0.6,0.98,,0.97,0.98,,0.21,0.61,0.57,0.97,,0.17,0.71,0.99,0.17,0.42,,0.45,0.35,,0.54,0.14,,0.97,,0.5,0.2,,0.55,0.32,,0.24,,0.09,0.15,0.35,0.7,,0.61,0.59,,,,0.48,,,0.98,,0.73,0.64,,,0.92,0.06,,0.92,0.29,0.97,,0.96,0.06,0.77,0.49,0.19,0.74,0.03,0.76,0.96,,0.84,0.77,,0.57,0.97,,,0.61,0.45,0.37,0.84,,0.85
"('Tea', 'Ctc(loose)')",13,24,80,0.517625,0.34,0.52,,,0.43,,0.23,0.28,0.31,0.79,,0.74,,,,,0.46,,0.99,0.95,0.35,0.07,0.47,,,0.84,0.69,0.8,0.63,,,0.59,0.12,0.44,0.37,0.55,0.72,0.1,0.26,,0.98,0.98,,0.1,0.86,0.57,0.97,,0.17,0.73,0.38,0.22,0.69,,0.48,0.35,,0.6,0.23,,0.24,,0.44,0.21,,0.04,0.35,,0.29,,0.11,0.05,0.11,0.85,,0.64,0.83,,,,0.19,,,0.98,,0.73,0.75,,,0.11,0.06,,0.84,0.53,0.97,,0.96,0.21,0.77,0.43,0.89,0.66,0.28,0.95,0.83,,0.95,0.78,,0.42,,,0.97,0.35,0.35,0.28,0.56,,0.1
"('Ragi', 'FAQ')",12,15,75,0.736133333,0.96,0.99,,,0.95,,0.97,0.91,0.96,,,0.33,,,,,0.98,0.99,0.9,0.79,0.95,0.21,0.99,,,0.87,0.13,0.07,0.11,,,0.73,0.95,0.82,0.98,0.98,0.99,0.09,0.96,,0.98,,,0.93,0.58,0.96,,,0.84,0.99,0.19,0.06,0.95,,0.99,0.96,,0.99,0.95,,0.95,,0.82,0.21,,0.02,0.96,,0.95,,0.09,0.95,0.53,0.42,,,0.95,,,,0.94,,,,,0.82,0.75,,,0.1,0.95,,0.84,0.11,0.97,,,0.8,,0.99,0.22,0.99,0.95,0.99,,,0.99,0.99,,0.98,0.97,,0.67,0.16,0.32,0.98,0.86,0.99,0.1
"('Vanaspati', ' ')",10,15,83,0.680722892,0.41,0.96,,,0.82,,0.99,0.52,0.52,0.79,,0.61,,,,,0.98,,0.89,0.99,0.13,0.47,0.9,,,0.86,0.3,0.99,0.16,,,0.75,0.79,0.07,0.28,0.69,0.99,0.12,0.28,,0.99,1,,1,0.45,1,0.99,,0.97,0.81,0.85,0.73,0.52,,0.58,0.43,,0.54,0.68,,0.96,,0.89,1,,0.06,0.58,,0.34,,0.11,0.06,0.95,0.97,,0.61,1,,,,0.38,,,0.99,0.99,0.97,0.69,,,0.21,0.99,0.98,0.85,0.13,0.98,,0.97,0.38,0.94,0.95,0.2,0.63,0.17,0.78,0.83,,0.86,0.78,,0.99,0.98,,0.68,0.26,0.51,1,0.98,,0.12
"('Wheat', 'Desi')",9,12,89,0.755617978,,0.84,0.99,,0.99,0.97,0.53,0.89,0.99,0.79,,0.95,0.98,,,0.99,0.99,1,0.89,0.78,0.12,0.21,0.7,,,,0.89,0.07,0.97,0.98,,0.6,0.09,0.4,0.35,,0.8,0.95,0.25,,0.97,0.98,0.99,0.08,0.96,0.92,0.95,0.99,0.93,,0.81,0.43,,0.99,,0.36,0.99,,0.96,0.97,0.07,0.99,0.69,0.98,,0.06,0.95,0.99,0.94,,0.87,0.84,0.94,0.59,0.97,,,,0.98,,0.02,,0.99,0.99,1,0.69,0.74,,,0.11,0.08,0.98,0.99,0.78,0.97,,0.96,0.47,0.79,0.91,0.94,0.6,0.98,0.76,,,,0.8,,0.98,0.99,0.99,0.69,0.85,0.56,0.27,0.58,,0.7
"('Fish', 'Cat Fish')",3,7,72,0.763611111,0.27,0.82,,,0.79,,0.85,0.84,0.91,,,0.76,,,,,0.9,,,0.99,0.83,0.82,0.97,,,0.96,0.31,0.07,0.86,,,0.98,0.5,0.84,0.88,0.86,0.93,0.79,0.88,,0.97,,,0.82,0.87,0.86,,,0.84,0.74,0.98,0.39,0.87,,0.84,0.88,,0.93,0.82,,0.86,,0.88,0.87,,0.05,0.82,,0.79,,0.61,0.81,0.83,0.46,,0.62,0.84,,,,0.59,,,,0.99,0.71,0.75,,,0.25,0.82,,0.98,0.17,0.97,,,0.83,,0.91,0.86,0.99,0.69,0.99,,,0.98,0.85,,0.92,,,,0.78,0.62,0.28,0.91,,0.28
"('Fish', 'Pomphret')",3,5,74,0.773648649,0.84,0.71,,,0.85,,0.97,0.91,0.52,,,0.61,,,,,0.99,,,0.98,0.81,0.94,0.8,,,0.93,0.35,0.07,0.59,,,0.98,0.63,0.68,0.98,0.98,0.93,0.3,0.98,,0.97,,,0.21,0.98,0.93,,,0.97,0.72,0.98,0.48,0.89,,0.61,0.97,,0.96,0.95,,0.96,,0.71,0.97,,0.34,0.92,,0.53,,0.84,0.15,0.92,0.46,,0.97,0.97,,,,0.53,,,,0.99,0.91,0.49,,,0.36,0.95,,0.98,0.17,0.98,,0.96,0.96,0.99,0.5,0.98,0.85,0.83,0.99,0.85,,,0.85,,0.98,,,,0.73,0.84,0.28,0.89,,0.72
"('Bread', 'Local')",0,17,81,0.536296296,0.41,0.57,,,0.3,,0.35,0.38,0.42,0.85,,0.62,,,,,0.47,,0.88,0.78,0.25,0.23,0.51,,,0.86,0.32,0.21,0.3,,,0.6,0.28,0.49,0.39,0.61,0.79,0.26,0.38,,0.98,0.98,,0.26,0.74,0.66,0.96,,0.33,0.73,,0.29,0.57,,0.52,0.42,,0.61,0.33,,0.24,,0.53,0.34,,0.21,0.46,,0.44,,0.24,0.2,0.27,0.51,,0.65,0.5,,,,0.25,,,0.98,0.99,0.82,0.75,,,0.24,0.22,,0.84,0.26,0.97,,0.96,0.48,0.77,0.51,0.37,0.61,0.3,0.75,0.83,,0.96,0.77,,0.5,0.97,,0.82,0.34,0.46,0.39,0.59,,0.26
"('Coconut', ' ')",0,1,82,0.931829268,1,0.96,,,0.8,,0.99,0.81,0.99,0.81,,0.64,,,,,0.89,,0.98,1,0.97,0.99,1,,,1,0.93,1,0.99,,,1,0.94,0.71,0.99,0.71,0.98,1,0.95,,0.99,1,,0.99,0.96,0.99,1,,0.99,0.99,0.84,0.89,0.99,,0.9,0.87,,0.97,0.88,,0.84,,1,0.83,,0.99,0.97,,0.87,,0.99,0.71,0.99,0.98,,0.99,0.75,,,,0.86,,,1,0.99,0.99,0.98,,,0.99,0.99,,1,0.98,0.99,,0.97,0.22,1,1,0.98,1,0.98,0.82,0.97,,0.99,0.99,,0.75,0.97,,0.96,0.86,0.99,1,1,,1
ValidProdCoutns,,,,,49,53,2,1,53,17,53,53,52,45,1,53,3,3,1,2,53,5,50,53,53,53,53,1,6,52,53,53,53,7,3,53,53,53,53,48,52,53,53,2,53,48,6,53,53,53,48,3,53,51,51,53,52,4,49,53,1,50,53,11,53,1,53,53,1,53,53,8,53,2,53,53,53,53,8,46,52,1,8,2,53,2,7,48,21,53,53,1,1,53,53,12,53,53,53,2,49,53,51,53,53,53,53,53,44,2,47,53,2,53,50,6,50,53,53,53,53,5,53
AverageNArate(City),,,,,49,53,3,2,53,18,53,53,52,45,2,53,4,3,2,3,53,6,50,53,53,53,53,2,6,52,53,53,53,7,4,53,53,53,53,48,52,53,53,3,53,48,7,53,53,53,48,4,53,51,51,53,52,4,49,53,2,50,53,12,53,2,53,53,2,53,53,8,53,2,53,53,53,53,9,46,52,1,9,3,53,3,8,48,22,53,53,2,2,53,53,13,53,53,53,2,49,53,51,53,53,53,53,53,44,3,47,53,2,53,50,7,50,53,53,53,53,6,53
