-- PASTED DIRECTLY FROM http://en.wikipedia.org/wiki/List_of_cities_and_towns_in_India --
Achabal 	Jammu and Kashmir 	N.A.C 	5,834 	
Jatani 	Odisha 	UA 	57,957
Jaunpur 	Uttar Pradesh 		
Jayankondam 	Tamil Nadu 	M 	39,569
Jehanabad 	Bihar 	M 	81,503
Jeypur 	Odisha 	M 	76,625
Jhabua 	Madhya Pradesh 		
Jhajha 	Bihar 	N.A 	36,447
Jhajjar 	Haryana 	M.C 	39,002
Jhalawar 	Rajasthan 		
Jhanjharpur 	Bihar 	N.A 	24,112
Jhansi 	Uttar Pradesh 	M.Corp. 	504,292
Jhargram 	West Bengal 	M 	53,158
Jharsuguda 	Odisha 	M 	76,100
Jhumri Tilaiya 	Jharkhand 	M 	69,503
Jhunjhunu 	Rajasthan 		
Jind 	Haryana 	M.Cl 	135,855
Joda 	Odisha 	M 	38,689
Jodhpur 	Rajasthan 		
Jogabani 	Bihar 	N.A 	29,991
Jogendranagar 	Tripura 	C.T 	34,850
Jorhat 	Assam 	UA 	137,814
Jowai 	Meghalaya 	M 	25,057
Junagadh 	Gujarat 		
Junnar 	Maharashtra 		
Jhalda 	West Bengal 	M 	20,000
K
The 1500 year-old Ekambareswarar Temple, in Kanchipuram, Tamil Nadu
Dakshineshwar Kali Temple, built on a raised platform, Kolkata.
Institute Main Building, IIT Kharagpur, Kharagpur, West Bengal.
Kanpur
Kochi
DLF IT Park, Rajarhat (New Town), Kolkata.
From top: M.G park in Kollam Beach, Light House in Kollam, Clock tower in Kollam, Helipad in Kollam, Kollam Port
Name of City/Town 	Name of State 	Classification 	Population (2001)
Kadapa 	Andhra Pradesh 		
Kadi 	Gujarat 	UA 	60,026
Kadiri 	Andhra Pradesh 	M 	76,252
Kadirur 	Kerala 	C.T 	28,989
Kagaznagar 	Andhra Pradesh 	M 	59,734
Kailaras 	Madhya Pradesh 		
Kailasahar 	Tripura 	N.P 	20,286
Kaithal 	Haryana 	M.Cl 	117,285
Kakching 	Manipur 	M.Cl 	28,724
Kakinada 	Andhra Pradesh 	M.Corp 	376,861
Kalan Wali 	Haryana 	M.C 	25,163
Kalavad 	Gujarat 	M 	24,858
Kalburgi 	Karnataka 		
Kalimpong 	West Bengal 		
Kalka 	Haryana 	M.C 	30,830
Kalliasseri 	Kerala 	C.T 	28,068
Kalpi 	Uttar Pradesh 	UA 	112,013
Kalol 	Gujarat 	UA 	27,903
Kalpetta 	Kerala 	M 	29,612
Kalyan 	Maharashtra 		1,576,614
Kalyandurg 	Andhra Pradesh 	C.T 	29,266
Kamareddy 	Andhra Pradesh 	M 	64,496
Kamthi 	Maharashtra 		
Kanchipuram 	Tamil Nadu 		
Kanda 	Uttarakhand 		
Kandukur 	Andhra Pradesh 	M 	50,326
Kanhangad 	Kerala 	UA 	129,367
Kanjikkuzhi 	Kerala 	C.T 	align="right"21
Kanker 	Chhattisgarh 	UA 	31,385
Kannur 	Kerala 	UA 	498,207
Kanpur 	Uttar Pradesh 	Megacity 	5,881,356
Kantabanji 	Odisha 	N.A.C 	20,095
Kanti 	Bihar 	N.A 	20,871
Kapadvanj 	Gujarat 	M 	43,950
Kapurthala 	Punjab 	M.Cl 	85,686
Karad 	Maharashtra 		
Karaikal 	Puducherry 	M 	74,438
Karaikudi 	Tamil Nadu 		
Karanjia 	Odisha 	N.A.C 	21,441
Karimganj 	Assam 	M.B 	52,613
Karimnagar 	Andhra Pradesh 	M.corp 	299,302
Karjan 	Gujarat 	M 	26,358
karjat 	maharashtra 	M 	217,363
Kaarkala 	Karnataka 		
Karnal 	Haryana 	UA 	12,74,843
Karoran 	Punjab 	C.T 	20,361
Kartarpur 	Punjab 	M.Cl 	25,157
Karur 	Tamil Nadu 	UA 	153,675
Karungal 	Tamil Nadu 		
Karwar 	Karnataka 	C.M.C 	62,973
Kasaragod 	Kerala 	UA 	75,968
Kashipur 	Uttarakhand 	M.B 	92,967
Kathua 	Jammu and Kashmir 	UA 	(2011)162,988
Katihar 	Bihar 	UA 	190,873
Katni 	Madhya Pradesh 		
Katra 	Jammu & Kashmir 		
Kavali 	Andhra Pradesh 	UA 	85,616
Kavaratti* 	Lakshadweep 	C.T 	10,119
Kawardha 	Chhattisgarh 	UA 	32,415
Kayamkulam 	Kerala 	M 	68,585
Kendrapara 	Odisha 	M 	41,407
Kendujhar 	Odisha 	M 	51,845
Keshod 	Gujarat 	M 	63,257
Keylong 	Himachal Pradesh 		
Khagaria 	Bihar 	M 	45,221
Khalilabad 	Uttar Pradesh 	MB 	39,814
Khambhalia 	Gujarat 	M 	36,479
Khambhat 	Gujarat 	UA 	93,194
Khammam 	Andhra Pradesh 	M.corp 	198,620
Khanna 	Punjab 	M.Cl 	103,099
Kharagpur 	Bihar 	N.A 	27,075
Kharagpur 	West Bengal 	Urban Agglomeration 	3,72,339
Kharar 	Punjab 	UA 	42,289
Kheda 	Gujarat 	M 	24,136
Khedbrahma 	Gujarat 	M 	25,556
Kheralu 	Gujarat 	M 	20,141
Kheri 	Uttar Pradesh 		
Khordha 	Odisha 	M 	39,054
Khowai 	Tripura 	N.P 	17,689
Khunti 	Jharkhand 	N.A 	29,282
Khurai 	Madhya Pradesh 		
kichha 	Uttarakhand 	M.B 	30,503
Kishanganj 	Bihar 	M 	85,590
Kochi 	Kerala 	UA 	1,355,972
Kodad 	Andhra Pradesh 		
Kodinar 	Gujarat 	M 	32,610
Kodungallur 	Kerala 	UA 	94,883
Kohima* 	Nagaland 	T.C 	77,030
Kokrajhar 	Assam 	M.B 	31,164
Kolar 	Karnataka 		77,030
Kolhar 	Karnataka 		31,164
Kolhapur 	Maharashtra 		
Kolkata 	West Bengal 	Urban Agglomeration 	14,617,882
Kollam 	Kerala 	UA 	380,091
Kollankodu 	Tamil Nadu 	T.P 	34,425
Kondagaon 	Chhattisgarh 	M 	26,898
Konnagar 	West Bengal 		
Koothuparamba 	Kerala 	M 	29,532
Koraput 	Odisha 	N.A.C 	39,548
Korba 	Chhattisgarh 	M.Corp. 	365,073
Koratla 	Andhra Pradesh 	M 	54,012
Kot Kapura 	Punjab 	M.Cl 	80,785
Kota 	Karnataka 		
Kota 	Rajasthan 		
Kota 	Uttar Pradesh 		
Kotdwara 	Uttarakhand 	M.B 	24,947
Kothagudem 	Andhra Pradesh 	UA 	105,266
Kothamangalam 	Kerala 	M 	37,173
Kothapeta 	Andhra Pradesh 		
Kotma 	Madhya Pradesh 		
Kottayam 	Kerala 	UA 	172,878
Kovvur 	Andhra Pradesh 	N.P 	39,372
Kozhikode 	Kerala 	UA 	1,080,247
Kozhencherry 	Kerala 	CT 	13,500
Krishnanagar 	West Bengal 		
Kuchinda 	Odisha 		
Kulpahar 	Uttar Pradesh 	N.P. 	17,437
Kunnamkulam 	Kerala 	M 	51,592
Kurali 	Punjab 	M.Cl 	23,047
Kurnool 	Andhra Pradesh 	M.corp 	495,973
Kurukshetra 	Haryana 	M.Cl 	
Kyathampalle 	Andhra Pradesh 	C.T 	42,273
Kamahi Devi 	Punjab 	C.T 	7
Kalyani 	West bengal 	C.T 	7
L
Name of City/Town 	Name of State 	Classification 	Population (2001)
Lachhmangarh 	Rajasthan 	M 	47,345
Ladnu 	Rajasthan 	M 	57,070
Ladwa 	Haryana 	M.C 	22,339
Lahar 	Madhya Pradesh 	N.P 	28,253
Laharpur 	Uttar Pradesh 	M.B 	50,092
Lakheri 	Rajasthan 	M 	32,183
Lakhimpur 	Uttar Pradesh 	M.B 	121,486
Lakhisarai 	Bihar 	M 	77,875
Lakshmishawara 	Karnataka 	T.M.C 	33,417
Lal Gopalganj Nindaura 	Uttar Pradesh 	N.P 	22,992
Lalganj 	Bihar 	M 	29,873
Lalgudi 	Tamil Nadu 	T.P 	23,405
Lalitpur 	Uttar Pradesh 	M.B 	111,892
Lalganj 	Uttar Pradesh 	N.P 	21,142
Lalsot 	Rajasthan 	M 	28,249
Lanka 	Assam 	T.C 	34,423
Lar 	Uttar Pradesh 	N.P 	25,363
Lathi 	Gujarat 	M 	20,966
Latur 	Maharashtra 	M.Cl 	299,985
Leh 	Jammu and Kashmir 	N.A.C 	(2011)27,513
Lilong 	Manipur 	N.P 	20,257
Limbdi 	Gujarat 	M 	40,071
Lingsuguru 	Karnataka 	T.P 	27,306
Loha 	Maharashtra 	M.Cl 	20,148
Lohardaga 	Jharkhand 	M 	46,196
Lonar 	Maharashtra 	M.Cl 	20,082
Lonavla 	Maharashtra 	M.Cl 	55,652
Longowal 	Punjab 	M.Cl 	20,239
Loni 	Uttar Pradesh 	N.P 	120,945
Losal 	Rajasthan 	M 	25,361
Lucknow* 	Uttar Pradesh 	UA 	2,245,509
Ludhiana 	Punjab 	M.Corp. 	1,398,467
Lumding 	Assam 	UA 	50,570
Lunawada 	Gujarat 	M 	33,369
Lundi 	Madhya Pradesh 	N.P 	20,168
Lunglei 	Mizoram 	N.T 	47,137
M
Mundi
Mandi
Madurai, Tamil Nadu
Medak cathedral, Andhra Pradesh
Mumbai
Science Block of Vidyasagar University, Medinipur
Machilipatnam, Andhra Pradesh
Name of City/Town 	Name of State 	Classification 	Population (2001)
Macherla 	Andhra Pradesh 	M 	49,221
Machilipatnam 	Andhra Pradesh 	M 	179,353
Madanapalle 	Andhra Pradesh 	UA 	107,449
Maddhuru 	Karnataka 	T.M.C 	26,521
Margao 	Goa 		
Madhepura 	Bihar 	M 	45,031
Madhubani 	Bihar 	M 	66,340
Madhugiri 	Karnataka 	T.M.C 	26,304
Madhupur 	Jharkhand 	M 	47,326
Madhyamgram 	Odisha 		
Madikeri 	Karnataka 	T.M.C 	32,496
Madurai 	Tamil Nadu 		1,230,015
Maagadi 	Karnataka 	T.M.C 	25,031
Mahabaleswar 	Maharashtra 		
Mahad 	Maharashtra 	M.Cl 	24,276
Mahbubnagar 	Andhra Pradesh 	UA 	139,662
Mahalingapura 	Karnataka 	T.M.C 	30,858
Maharajganj 	Bihar 	N.A 	20,860
Maharajpur 	Madhya Pradesh 	NP 	21,490
Mahasamund 	Chhattisgarh 	M 	47,100
Mahe 	Puducherry 	M 	36,828
Mahendragarh 	Chhattisgarh 	M 	30,758
Mahendragarh 	Haryana 	M.C 	24,323
Mahesana 	Gujarat 	UA 	141,453
Mahidpur 	Madhya Pradesh 	UA 	29,379
Mahnar Bazar 	Bihar 	M 	37,370
Mahoba 	Uttar Pradesh 		
Mahuli 	Maharashtra 		
Mahuva 	Gujarat 	UA 	80,726
Mahwa 	Rajasthan 		
Maihar 	Madhya Pradesh 	M 	34,342
Mainaguri 	West Bengal 	C.T 	27,106
Makhdumpur 	Bihar 	N.A 	30,109
Makrana 	Rajasthan 	UA 	91,853
Mal 	West Bengal 	M 	23,218
Malajkhand 	Madhya Pradesh 	M 	32,296
Malappuram 	Kerala 	UA 	170,409
Malavalli 	Karnataka 	T.M.C 	35,851
Malegaon 	Maharashtra 	M.Cl 	409,403
Malerkotla 	Punjab 	M.Cl 	107,009
Malkangiri 	Odisha 	N.A.C 	23,114
Malkapur 	Maharashtra 	M.Cl 	61,012
Malout 	Punjab 	M.Cl 	70,765
Malpura 	Rajasthan 	UA 	27,360
Maaluru 	Karnataka 	T.M.C 	27,815
Manasa 	Madhya Pradesh 	N.P 	22,623
Manavadar 	Gujarat 	M 	27,563
Manawar 	Madhya Pradesh 	M 	25,467
Manchar 	Maharashtra 		
Mancherial 	Andhra Pradesh 	UA 	118,195
Mandalgarh 	Rajasthan 	M 	20,169
Mandamarri 	Andhra Pradesh 	M 	66,596
Mandapeta 	Andhra Pradesh 	M 	47,638
Mandawa 	Rajasthan 	M 	20,830
Mandi 	Himachal Pradesh 	M.Cl 	60,387
Mandi Dabwali 	Haryana 	M.C 	53,811
Mandideep 	Madhya Pradesh 	M 	39,859
Mandla 	Madhya Pradesh 	UA 	60,542
Mandsaur 	Madhya Pradesh 	UA 	117,555
Mandvi 	Gujarat 	M 	42,355
Mandya 	Karnataka 	C.M.C 	131,179
Maner 	Bihar 	N.A 	30,082
Manesar 	Haryana 		
Mangalagiri 	Andhra Pradesh 		
Mangaldoi 	Assam 	M.B 	23,920
Mangalore 	Karnataka 	UA 	539,387
Mangalvedhe 	Maharashtra 	M.Cl 	21,706
Manglaur 	Uttarakhand 	M.B 	42,584
Mangrol 	Gujarat 	UA 	56,320
Mangrol 	Rajasthan 	M 	21,842
Mangrulpir 	Maharashtra 	M.Cl 	27,815
Manihari 	Bihar 	N.A 	21,803
Manjlegaon 	Maharashtra 	M.Cl 	44,029
Mankachar 	Assam 	C.T 	28,780
Manmad 	Maharashtra 	M.Cl 	72,401
Mansa 	Punjab 	M.Cl 	72,627
Mansa 	Gujarat 	M 	27,922
Manuguru 	Andhra Pradesh 	C.T 	32,893
Maanvi 	Karnataka 	T.M.C 	37,613
Manwath 	Maharashtra 	M.Cl 	29,218
Mapusa 	Goa 	M.Cl 	40,487
Margao 	Goa 	UA 	94,383
Margherita 	Assam 	C.T 	24,049
Marhaura 	Bihar 	N.A 	24,548
Mariani 	Assam 	T.C 	20,997
Marigaon 	Assam 	T.C 	20,811
Markapur 	Andhra Pradesh 	M 	58,462
Marmagao 	Goa 	UA 	104,758
Masaurhi 	Bihar 	N.A 	45,248
Mathabhanga 	West Bengal 	M 	21,107
Mathura 	Uttar Pradesh 		
Mattannur 	Kerala 	M 	44,313
Mauganj 	Madhya Pradesh 	N.P 	23,024
Maur 	Punjab 	M.Cl 	27,543
Mavelikkara 	Kerala 	M 	28,439
Mavoor 	Kerala 	C.T 	27,845
Mayang Imphal 	Manipur 	N.P 	20,532
Medak 	Andhra Pradesh 	N.P 	41,945
Medinipur 	West Bengal 	M 	149,769
Meerut 	Uttar Pradesh 	C.M.C 	1,309,023
Mehkar 	Maharashtra 	M.Cl 	37,715
Mehmedabad 	Gujarat 	M 	30,768
Memari 	West Bengal 	M 	36,207
Merta City 	Rajasthan 	M 	40,252
Mhaswad 	Maharashtra 	M.Cl 	20,500
Mhow Cantonment 	Madhya Pradesh 	UA 	92,364
Mhowgaon 	Madhya Pradesh 	N.P 	20,523
Mihijam 	Jharkhand 	N.A 	33,236
Mira-Bhayandar 	Maharashtra 	UA 	520,301
Miraj 	Maharashtra 		
Mirganj 	Bihar 	N.A 	23,576
Miryalaguda 	Andhra Pradesh 	UA 	91,359
Mirzapur 	Uttar Pradesh 		
Mithapur 	Gujarat 		
Modasa 	Gujarat 	M 	54,135
Modinagar 	Uttar Pradesh 	M 	272,918
Moga 	Punjab 	UA 	135,279
Mogalthur 	Andhra Pradesh 		
Mohali 	Punjab 	M.Cl 	123,484
Mohania 	Bihar 		
Mokama 	Bihar 		
Mokameh 	Bihar 	M 	56,615
Mokokchung 	Nagaland 	T.C 	31,214
Monoharpur 	West Bengal 	C.T 	20,846
Moradabad 	Uttar Pradesh 		
Morena 	Madhya Pradesh 	M 	150,959
Morinda 	Punjab 	M.Cl 	22,635
Morshi 	Maharashtra 	M.Cl 	33,607
Morvi 	Gujarat 	UA 	178,055
Motihari 	Bihar 	UA 	108,428
Motipur 	Bihar 	N.A 	21,957
Mount Abu 	Rajasthan 	M 	22,152
Mudalagi 	Karnataka 	T.M.C 	29,893
Mudabidri 	Karnataka 	T.M.C 	25,713
Muddebihala 	Karnataka 	T.M.C 	28,219
Mudhola 	Karnataka 	T.M.C 	42,461
Mukatsar 	Punjab 		
Mukerian 	Punjab 	M.Cl 	21,384
Mukhed 	Maharashtra 	M.Cl 	25,933
Muktsar 	Punjab 	M.Cl 	83,655
Mul 	Maharashtra 	M.Cl 	22,330
Mulabaagilu 	Karnataka 	T.M.C 	44,033
Multai 	Madhya Pradesh 	N.P 	21,423
Mumbai 	Maharashtra 	UA 	18,414,288
Mundi 	Madhya Pradesh 	N.P 	30,000
Mundaragi 	Karnataka 	T.P 	20,363
Mungeli 	Chhattisgarh 	UA 	31,613
Munger 	Bihar 	M 	188,050
Muradnagar 	Uttar Pradesh 		
Murliganj 	Bihar 	N.A 	22,936
Murshidabad 	West Bengal 	M 	36,947
Murtijapur 	Maharashtra 	M.Cl 	38,554
Murwara 	Madhya Pradesh 	M.Corp. 	187,029
Musabani 	Jharkhand 	C.T 	33,980
Mussoorie 	Uttarakhand 	UA 	29,329
Muvattupuzha 	Kerala 	M 	29,246
Muzaffarnagar 	Uttar Pradesh 		
Muzaffarpur 	Bihar 	M.Corp. 	305,525
Delhi 	Karnataka 	UA 	799,228
Meethari Marwar 	Rajasthan 	G.P. 	
N
View of Jubilee Bridge across River Hooghly in Naihati, West Bengal.
Branch of RBI in Nagpur city
Growing Sub-urb of Nashik
View of Takht Shri Hazoor Sahib Gurudwara in Nanded
View of Narayana Engineering College in Nellore
View of IT park in NOIDA region
Khilla Ramalayam Temple in Nizamabad
View of Jubilee Bridge across River Hooghly in Naihati
View of Clock Tower in Nagercoil
View of Gandhi Sagar Dam in Neemuch
A bridge under construction in Nagapattinam
Name of City/Town 	Name of State 	Classification 	Population (2001)
Nabadwip 	West Bengal 	UA 	125,341
Nabarangapur 	Odisha 	M 	28,005
Nabha 	Punjab 	M.Cl 	61,593
Nadbai 	Rajasthan 	M 	21,649
Nadiad 	Gujarat 	UA 	196,793
Nidagundi 	Karnataka 	T.P. 	26,793
Nagaon 	Assam 	UA 	123,265
Nagapattinam 	Tamil Nadu 	M 	93,148
Nagar 	Rajasthan 	M 	21,350
Nagari 	Andhra Pradesh 	C.T 	24,372
Nagarkurnool 	Andhra Pradesh 	C.T 	26,157
Nagaur 	Rajasthan 	UA 	93,915
Nagda 	Madhya Pradesh 	M 	96,579
Nagercoil 	Tamil Nadu 	M 	208,179
Nagina 	Uttar Pradesh 	M.B 	71,350
Nagla 	Uttarakhand 	C.T 	22,947
Nagpur 	Maharashtra 	UA 	2,129,500
Nahan 	Himachal Pradesh 	M.Cl 	26,053
Naharlagun 	Arunachal Pradesh 	C.T 	27,020
Naihati 	West Bengal 	M 	215,432
Naila Janjgir 	Chhattisgarh 	M 	32,513
Nainital 	Uttarakhand 	UA 	39,911
Nainpur 	Madhya Pradesh 	M 	21,760
Najafgarh 	Delhi 	UA 	9,011,500
Najibabad 	Uttar Pradesh 	M.B 	79,025
Nakodar 	Punjab 	M.Cl 	31,408
Nakur 	Uttar Pradesh 	M.B 	20,715
Nalasopara 	Maharashtra 	M.Cl 	184,538
Nalanda 	Bihar 		
Nalbari 	Assam 	M.B 	23,183
Namagiripettai 	Tamil Nadu 	T.P 	21,446
Namakkal 	Tamil Nadu 	M 	53,055
Nanded-Waghala 	Maharashtra 	M.Corp. 	430,733
Nandgaon 	Maharashtra 	M.Cl 	23,195
Nandivaram-Guduvancheri 	Tamil Nadu 	T.P 	26,575
Nandura 	Maharashtra 	M.Cl 	37,469
Nandurbar 	Maharashtra 	M.Cl 	94,368
Nandyal 	Andhra Pradesh 	UA 	157,120
Nangal 	Punjab 	UA 	45,368
Nanjanagoodu 	Karnataka 	T.M.C 	48,232
Nanjikottai 	Tamil Nadu 	C.T 	21,935
Nanpara 	Uttar Pradesh 	M.B 	42,773
Narasapur 	Andhra Pradesh 	M 	58,604
Narasaraopet 	Andhra Pradesh 	UA 	95,349
Naraura 	Uttar Pradesh 	N.P 	20,407
Narayanpet 	Andhra Pradesh 	N.P 	37,563
Narela 	Delhi 	UA 	501,511
Nargund 	Rajasthan 	T.M.C 	32,561
Narkatiaganj 	Bihar 	N.A 	40,830
Narkhed 	Maharashtra 	M.Cl 	21,537
Narnaul 	Haryana 	M.Cl 	62,077
Narsinghgarh 	Madhya Pradesh 	UA 	56,203
Narsinghgarh 	Madhya Pradesh 	M 	27,723
Narsipatnam 	Andhra Pradesh 	C.T 	32,623
Narwana 	Haryana 	M.C 	50,435
Nashik 	Maharashtra 	UA 	1,152,326
Nasirabad 	Rajasthan 	C.B 	49,130
Natham 	Tamil Nadu 	T.P 	22,545
Nathdwara 	Rajasthan 	M 	37,026
Naugachhia 	Bihar 	N.A 	38,287
Naugawan Sadat 	Uttar Pradesh 	N.P 	27,066
Nautanwa 	Uttar Pradesh 	M.B 	29,302
Navalgund 	Rajasthan 	T.P 	22,202
Navi Mumbai 	Maharashtra 	UA 	1,119,477
Navsari 	Gujarat 	UA 	232,411
Nawabganj 	Uttar Pradesh 	M.B 	30,606
Nawada 	Bihar 	M 	81,891
Nawagarh 	Chhattisgarh 	NP 	21,220
Nawalgarh 	Rajasthan 	M 	56,491
Nawanshahr 	Punjab 	UA 	31,967
Nawapur 	Maharashtra 	M.Cl 	29,979
Nedumangad 	Kerala 	M 	56,138
Neem-Ka-Thana 	Rajasthan 	M 	29,548
Neemuch 	Madhya Pradesh 	UA 	112,852
Nehtaur 	Uttar Pradesh 	M.B 	44,320
Nelamangala 	Rajasthan 	T.P 	25,287
Nellikuppam 	Tamil Nadu 	M 	44,222
Nellore 	Andhra Pradesh 	UA 	404,775
Nepanagar 	Madhya Pradesh 	M 	31,638
New Delhi* 	Delhi 	UA 	249,998
Neyveli 	Tamil Nadu 	UA 	138,035
Neyyattinkara 	Kerala 	M 	69,467
Nidadavole 	Andhra Pradesh 	M 	43,143
Nilanga 	Maharashtra 	M.Cl 	31,662
Nilambur 	Kerala 	M 	41,211
Nimbahera 	Rajasthan 	M 	53,327
Nippani 	Karnataka 	C.M.C 	58,081
Nirmal 	Andhra Pradesh 	M 	75,254
Niwai 	Rajasthan 	M 	31,365
Niwari 	Madhya Pradesh 	N.P 	20,713
Nizamabad 	Andhra Pradesh 	M 	288,722
Nohar 	Rajasthan 	M 	42,309
Noida 	Uttar Pradesh 	C.T 	305,058
Nokha 	Bihar 	N.A 	22,354
Nokha 	Rajasthan 	M 	49,688
Nongstoin 	Meghalaya 	T.C 	23,106
Noorpur 	Uttar Pradesh 	M.B 	33,590
North Lakhimpur 	Assam 	M.B 	54,285
Nowgong 	Madhya Pradesh 	M 	33,024
Nowrozabad 	Madhya Pradesh 	N.P 	22,403
Nuzvid 	Andhra Pradesh 	M 	50,354
O

Nagalapuram
Main entrance of Ongole railway station
Name of City/Town 	Name of State 	Classification 	Population (2001)
O' Valley 	Tamil Nadu 	T.P 	24,793
Oddanchatram 	Tamil Nadu 	T.P 	24,132
Obra 	Uttar Pradesh 	N.P 	51,014
Ongole 	Andhra Pradesh 	M.Corp. 	3,02,643


(2013)
Orai 	Uttar Pradesh 	M.B 	139,318
Osmanabad 	Maharashtra 	M.Cl 	80,625
Ottappalam 	Kerala 	M 	49,342
Ozar 	Maharashtra 	C.T 	45,954
P
Crowded Roads of Pune
Aerial View Of Patna
Park Monunemt (Aayi Mandapam) at the Government Park in Puducherry
View of Panipat railway station
Paravur Railway Station in Paravoor, Kerala
The Phuara Chowk, the central landmark of Patiala
Twilight after Sunset in Parbhani
Skyline of Porbandar
View of Tippu's Fort in Palakkad from outside the northern wall
View of Ravi River at Pathankot
Rath Yatra festival in Puri at Shri Jagannath Temple
View of Yadvindra Gardens in Pinjore
A Busy Main Market in Pilibhit city
Kirtistambh, an historical monument of Palanpur
View of Puruliya railway station
View of Dattu Prajapati in Patan
Name of City/Town 	Name of State 	Classification 	Population (2001)
P.N.Patti 	Tamil Nadu 	T.P 	23,331
Pachora 	Maharashtra 	M.Cl 	45,333
Pachore 	Madhya Pradesh 	N.P 	20,939
Pacode 	Tamil Nadu 	T.P 	22,781
Padmanabhapuram 	Tamil Nadu 	M 	20,075
Padra 	Gujarat 	UA 	39,205
Padrauna 	Uttar Pradesh 	M.B 	44,383
Paithan 	Maharashtra 	M.Cl 	34,518
Pakaur 	Jharkhand 	M 	36,029
Palacole 	Andhra Pradesh 	UA 	76,308
Palai 	Kerala 	M 	22,640
Palakkad 	Kerala 	UA 	197,369
Palani 	Tamil Nadu 	M 	67,231
Palanpur 	Gujarat 	UA 	122,300
Palasa Kasibugga 	Andhra Pradesh 	N.P 	49,899
Palghar 	Maharashtra 	M.Cl 	52,677
Pali 	Rajasthan 	M.Cl 	187,641
Pali 	Madhya Pradesh 	N.P 	20,942
Palia Kalan 	Uttar Pradesh 	M.B 	35,029
Palitana 	Gujarat 	M 	51,944
Pondur 	Andhra pradesh 	N.A 	3,931
Palladam 	Tamil Nadu 	T.P 	30,016
Pallapatti 	Tamil Nadu 	C.T 	24,326
Pallikonda 	Tamil Nadu 	T.P 	20,771
Palwal 	Haryana 	M.Cl 	100,722
Palwancha 	Andhra Pradesh 	M 	69,088
Panagar 	Madhya Pradesh 	M 	25,199
Panagudi 	Tamil Nadu 	T.P 	25,501
Panaji* 	Goa 	UA 	99,677
Panamattom 	Kerala 	N.A 	10,032
Panchkula 	Haryana 	E.O 	140,925
Panchla 	West Bengal 	C.T 	22,051
Pandharkaoda 	Maharashtra 	M.Cl 	26,572
Pandharpur 	Maharashtra 	M.Cl 	91,379
Pandhurna 	Madhya Pradesh 	M 	40,931
Pandua 	West Bengal 	C.T 	27,161
Panipat 	Haryana 	M.Corp. 	354,148
Panna 	Madhya Pradesh 	UA 	52,057
Panniyannur 	Kerala 	C.T 	20,863
Panruti 	Tamil Nadu 	M 	55,346
Panvel 	Maharashtra 	M.Cl 	204,336
Pappinisseri 	Kerala 	C.T 	33,273
Paradip 	Odisha 	N.A.C 	73,625
Paramakudi 	Tamil Nadu 	M 	84,321
Parangipettai 	Tamil Nadu 	T.P 	20,912
Parasi 	Uttar Pradesh 	C.T 	21,206
Paravoor 	Kerala 	M 	38,652
Parbhani 	Maharashtra 	M.Cl 	259,329
Pardi 	Gujarat 	M 	25,275
Parlakhemundi 	Odisha 	M 	43,097
Parli 	Maharashtra 	M.Cl 	88,537
Parola 	Maharashtra 	M.Cl 	34,799
Partur 	Maharashtra 	M.Cl 	29,012
Parvathipuram 	Andhra Pradesh 	M 	49,714
Pasan 	Madhya Pradesh 	M 	29,565
Paschim Punropara 	West Bengal 	C.T 	31,198
Pasighat 	Arunachal Pradesh 	C.T 	21,965
Patan 	Gujarat 	UA 	113,749
Pathanamthitta 	Kerala 	M 	38,009
Pathankot 	Punjab 	UA 	168,485
Pathardi 	Maharashtra 	M.Cl 	22,827
Pathri 	Maharashtra 	M.Cl 	32,001
Patiala 	Punjab 	M.Corp. 	1,354,686
Patna* 	Bihar 	M.Corp. 	1,697,976
Patran 	Punjab 	N.P 	22,175
Patratu 	Jharkhand 	C.T 	32,134
Pattamundai 	Odisha 	N.A.C 	32,730
Patti 	Punjab 	M.Cl 	34,444
Pattukkottai 	Tamil Nadu 	M 	65,533
Patur 	Maharashtra 	M.Cl 	20,538
Pauni 	Maharashtra 	M.Cl 	22,587
Pauri 	Uttarakhand 	M.B 	24,743
Paavagada 	Karnataka 	T.P 	28,068
Pedana 	Andhra Pradesh 	N.P 	29,613
Peddapuram 	Andhra Pradesh 	M 	45,520
Pehowa 	Haryana 	M.C 	33,564
Pen 	Maharashtra 	M.Cl 	30,201
Penuganchiprolu 	Andhra Pradesh 	G.P 	25,000
Perambalur 	Tamil Nadu 	T.P 	37,631
Peravurani 	Tamil Nadu 	T.P 	21,045
Peringathur 	Kerala 	C.T 	37,699
Perinthalmanna 	Kerala 	M 	44,612
Periyakulam 	Tamil Nadu 	M 	42,012
Periyasemur 	Tamil Nadu 	T.P 	32,024
Pernampattu 	Tamil Nadu 	T.P 	41,499
Perumbavoor 	Kerala 	M 	26,547
Petlad 	Gujarat 	M 	51,147
Phagwara 	Punjab 	UA 	102,253
Phalodi 	Rajasthan 	UA 	44,868
Phaltan 	Maharashtra 	M.Cl 	50,800
Phillaur 	Punjab 	M.Cl 	22,302
Phulabani 	Odisha 	N.A.C 	33,890
Phulera 	Rajasthan 	M 	21,643
Phulpur 	Uttar Pradesh 	N.P 	20,986
Phusro 	Jharkhand 	UA 	174,402
Pihani 	Uttar Pradesh 	M.B 	27,545
Pilani 	Rajasthan 	UA 	40,590
Pilibanga 	Rajasthan 	M 	33,608
